horodatage,id_session,nom_session,date_session,jour_semaine,heure,coach,lieu,capacite,places_restantes,places_reservees,taux_remplissage_pct,liste_attente_pleine
2026-07-21 15:04:04,137681325,Sculpt 🤎 Reformer,2026-08-07 16:00:00,Vendredi,16:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681432,Flow Trio 🤎 Reformer,2026-08-07 17:00:00,Vendredi,17:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681487,Fondation 1 🤎 Reformer,2026-08-07 18:00:00,Vendredi,18:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137682623,Fondation 2 🤎 Reformer,2026-08-08 09:00:00,Samedi,09:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137682663,Core & Tone 🤎 Reformer,2026-08-08 10:00:00,Samedi,10:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137682719,Dynamic Fit 🤎 Reformer,2026-08-08 11:00:00,Samedi,11:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137682794,Flow Trio 🤎 Reformer,2026-08-08 12:00:00,Samedi,12:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137682839,Fondation 2 🤎 Reformer,2026-08-09 09:00:00,Dimanche,09:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137683010,Fondation 2 🤎 Reformer,2026-08-09 10:00:00,Dimanche,10:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137683066,Dynamic Fit 🤎 Reformer,2026-08-09 11:00:00,Dimanche,11:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137682949,Core & Tone 🤎 Reformer,2026-08-09 12:00:00,Dimanche,12:00,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137617871,Fondation 2 🤎 Reformer,2026-08-10 07:00:00,Lundi,07:00,Aveline Caminade,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,137618004,Sculpt 🤎 Reformer,2026-08-10 08:00:00,Lundi,08:00,Aveline Caminade,Reformer,8,8,0,0.0,False
2026-07-21 15:04:04,138838572,Fondation 2 ⭐️ Pilates Mat ,2026-08-10 08:00:00,Lundi,08:00,Dani Johnson,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137618258,Dynamic Fit 🤎 Reformer,2026-08-10 09:00:00,Lundi,09:00,Aveline Caminade,Reformer,8,8,0,0.0,False
